"Release_Number","Localized_Title_EN","System","Publisher","Country","Language","Genre","Release_Date","Dump_Group","Dump_Directory_Name","Dump_File_Name","Dump_Date","Internal_Title","Internal_Serial","Internal_Version","Complement_Check","CRC32","ROM_Size","Save_Type","Comments","Release_Notes"
"1","F-Zero","GameBoy Advance","Nintendo","Japan","Japanese","Racing","2001-03-21","Independent","F-Zero_JAP_GBA-IND","F-Zero (J).zip","2001-03-26","F-ZERO ADVAN","AGB-AFZJ-JPN","1.0","88h","25E3FC9Ah","32 Mbit","SRAM_V110 (256Kbit)","",""
"2","Super Mario Advance","GameBoy Advance","Nintendo","Japan","Japanese","Platform","2001-03-21","Independent","Mario_Advance_JAP_GBA-IND","Mario Advance (J).zip","2001-03-26","SUPER MARIOA","AGB-AMAJ-JPN","1.0","6Fh","B993B92Fh","32 Mbit","EEPROM_V111 (4Kbit)","",""
"3","Battle Network RockMan EXE","GameBoy Advance","Capcom","Japan","Japanese","RPG","2001-03-21","Eurasia","Rockman_EXE_JAP_GBA-EUR","eur-rexe.zip","2001-03-31","ROCKMAN_EXE","AGB-AREJ-JPN","1.0","7Bh","4B99700Fh","64 Mbit","SRAM_V110 (256Kbit)","",""
"4","Kuru Kuru Kururin","GameBoy Advance","Nintendo","Japan","Japanese","Action","2001-03-21","Eurasia","Kuru_Kuru_Kururin_JAP_GBA-EUR","eur-kuru.zip","2001-03-31","KURURIN","AGB-AKRJ-JPN","1.0","98h","8A6A900Bh","32 Mbit","SRAM_V110 (256Kbit)","",""
"5","Mr. Driller 2","GameBoy Advance","Namco","Japan","Japanese","Puzzle","2001-03-21","Capital","Mr_Driller_2_JAP_GBA-CPL","cpl-mrd2.zip","2001-04-13","MR. DRILLER2","AGB-AD2J-JPN","1.0","9Ch","5264C730h","32 Mbit","SRAM_F_V100 (256Kbit)","",""
"6","Chu Chu Rocket!","GameBoy Advance","Sega","Japan","Japanese","Action","2001-03-21","Capital","Chu_Chu_Rocket_JAP_GBA-CPL","cpl-cchu.zip","2001-04-13","CHUCHUROCKET","AGB-ACRJ-JPN","1.0","21h","2C8C1B5Ah","32 Mbit","FLASH_V121 (512Kbit)","",""
"7","Akumajou Dracula - Circle of the Moon","GameBoy Advance","Konami","Japan","Japanese","Platform","2001-03-21","Capital","Castlevania_Circle_of_the_Moon_JAP_GBA-CPL","cpl-ccom.zip","2001-04-13","DRACULA AGB1","AGB-AAMJ-JPN","1.0","8Fh","F3E41D73h","64 Mbit","SRAM_V110 (256Kbit)","",""
"8","Advance GTA","GameBoy Advance","M²TO","Japan","Japanese","Racing","2001-03-21","Capital","Advance_GTA_JAP_GBA-CPL","cpl-ccom.zip","2001-04-13","ADVANCE GTA","AGB-AG7J-JPN","1.0","CCh","FDC82E98h","64 Mbit","SRAM_V110 (256Kbit)","",""
"9","Konami Wai Wai Racing Advance","GameBoy Advance","Konami","Japan","Japanese","Racing","2001-03-21","Capital","Wai_Wai_Racing_JAP_GBA-CPL","cpl-wair.zip","2001-04-13","WAIWAI","AGB-AKWJ-JPN","1.0","D0h","AA039A8Ah","32 Mbit","SRAM_V110 (256Kbit)","",""
"10","Bakunetsu Dodge Ball Fighters","GameBoy Advance","Atlus","Japan","Japanese","Sports","2001-03-21","Capital","Super_Dodgeball_Advance_JAP_GBA-CPL","cpl-sdba.zip","2001-04-14","DODGEBALL F","AGB-ADFJ-JPN","1.0","D1h","9030515Dh","32 Mbit","SRAM_V110 (256Kbit)","",""
"11","Pinobee no Daibouken","GameBoy Advance","Hudson","Japan","Japanese","Action","2001-03-21","Capital","Pinobee_Quest_of_Heart_JAP_GBA-CPL","cpl-pbee.zip","2001-04-14","PINOBEE","AGB-APBJ-JPN","1.0","C9h","FEBF9045h","64 Mbit","SRAM_V110 (256Kbit)","",""
"12","Power Pro Kun Pocket 3","GameBoy Advance","Konami","Japan","Japanese","Sports","2001-03-21","Capital","Powerful_Pro_Baseball_3_JAP_GBA-CPL","cpl-ppb3.zip","2001-04-14","PAWAPOKE3","AGB-AP3J-JPN","1.0","43h","4314D8BCh","64 Mbit","SRAM_V110 (256Kbit)","",""
"13","Napoleon","GameBoy Advance","Nintendo","Japan","Japanese","Strategy","2001-03-21","Capital","Napoleon_JAP_GBA-CPL","cpl-napo.zip","2001-04-14","NAPOLEON","AGB-ANPJ-JPN","1.0","6Bh","FA016764h","64 Mbit","SRAM_V110 (256Kbit)","",""
"14","Zen-Nippon GT Senshuken","GameBoy Advance","Kemco","Japan","Japanese","Racing","2001-03-21","Capital","Top_Gear_All_Japan_GT_Championship_JAP_GBA-CPL","cpl-tggt.zip","2001-04-14","GT-CHAMP","AGB-AGTJ-JPN","1.0","90h","D320A965h","32 Mbit","FLASH_V121 (512Kbit)","",""
"15","Fire Pro Wrestling A","GameBoy Advance","Spike","Japan","Japanese","Fighting","2001-03-21","Capital","Fire_Pro_Wrestling_A_JAP_GBA-CPL","cpl-fpwa.zip","2001-04-15","FPA","AGB-AFPJ-JPN","1.0","C8h","0BB47E83h","64 Mbit","FLASH_V121 (512Kbit)","",""
"16","Tweety to Hearty Party","GameBoy Advance","Kemco","Japan","Japanese","Action","2001-03-21","Capital","Tweety_and_the_Magical_Jewel_JAP_GBA-CPL","cpl-tmjw.zip","2001-04-15","TWEETY PARTY","AGB-AMJJ-JPN","1.0","33h","D38672BFh","32 Mbit","SRAM_V110 (256Kbit)","",""
"17","JGTO Golf Master - Japan Tour Golf Game","GameBoy Advance","Konami","Japan","Japanese","Sports","2001-03-21","Capital","Golf_Master_JAP_GBA-CPL","cpl-gmas.zip","2001-04-15","GOLFMASTER","AGB-AGRJ-JPN","1.0","C4h","0BA5809Fh","64 Mbit","FLASH_V121 (512Kbit)","",""
"18","Winning Post","GameBoy Advance","Koei","Japan","Japanese","Sports","2001-03-21","Rapid Fire","Winning_Post_JAP_GBA-RPF","rpf-wpos.zip","2001-04-15","WINNINGPOST","AGB-AWPJ-JPN","1.0","44h","5ADA60F6h","32 Mbit","FLASH_V121 (512Kbit)","",""
"19","Play Novel - Silent Hill","GameBoy Advance","Konami","Japan","Japanese","Adventure","2001-03-21","Rapid Fire","Silent_Hill_Play_Novel_JAP_GBA-RPF","rpf-shpn.zip","2001-04-15","SILENT HILL","AGB-ASHJ-JPN","1.0","81h","318A1E9Bh","64 Mbit","SRAM_V110 (256Kbit)","",""
"20","Yu-Gi-Oh! Dungeon Dice Monsters","GameBoy Advance","Konami","Japan","Japanese","Other","2001-03-21","Rapid Fire","Dungeondice_Monsters_JAP_GBA-RPF","rpf-ddms.zip","2001-04-16","YU-GI-OH DDM","AGB-AYDJ-JPN","1.0","90h","51B35E87h","64 Mbit","FLASH_V120 (512Kbit)","",""
"21","Boku wa Koukuu Kanseikan","GameBoy Advance","TAM","Japan","Japanese","Strategy","2001-03-21","Rapid Fire","I_Am_An_Air_Traffic_Controller_JAP_GBA-RPF","rpf-airc.zip","2001-04-16","BOKUKAN AGB","AGB-ABCJ-JPN","1.1","ADh","5E3B163Eh","64 Mbit","SRAM_V110 (256Kbit)","",""
"22","J-League Pocket","GameBoy Advance","Konami","Japan","Japanese","Sports","2001-03-21","Rapid Fire","J_League_Pocket_JAP_GBA-RPF","rpf-jlpk.zip","2001-04-16","JPOCKET","AGB-AJPJ-JPN","1.0","A7h","51BE73B8h","64 Mbit","SRAM_V110 (256Kbit)","",""
"23","Momotarou Matsuri","GameBoy Advance","Hudson","Japan","Japanese","RPG","2001-03-21","Rapid Fire","Momotaro_Festival_JAP_GBA-RPF","rpf-mfes.zip","2001-04-16","MOMO MATSURI","AGB-AMMJ-JPN","1.1","45h","BF0523D1h","32 Mbit","SRAM_V110 (256Kbit)","",""
"24","Monster Guardians","GameBoy Advance","Konami","Japan","Japanese","RPG","2001-03-21","Rapid Fire","Monster_Guardians_JAP_GBA-RPF","rpf-mgrd.zip","2001-04-16","MONSTERGUARD","AGB-AMNJ-JPN","1.0","1Bh","93815CDEh","64 Mbit","SRAM_V110 (256Kbit)","",""
"25","Super Mario Advance","GameBoy Advance","Nintendo","USA","English","Platform","2001-06-10","Eurasia","Super_Mario_Advance_USA_GBA-EURASIA","eur-maus.zip","2001-05-18","SUPER MARIOA","AGB-AMZE-USA","1.0","5Bh","69924CBDh","32 Mbit","EEPROM_V120 (4Kbit)","",""
"26","Final Fight One","GameBoy Advance","Capcom","Japan","Japanese","Action","2001-05-25","Eurasia","Final_Fight_One_JAP_GBA-EURASIA","eur-ffo.zip","2001-05-25","FINAL FIGHT","AGB-AFFJ-JPN","1.0","D6h","C9E5E223h","32 Mbit","EEPROM_V120 (4Kbit)","",""
"27","Bomberman Story","GameBoy Advance","Hudson","Japan","Japanese","Action","2001-04-27","Eurasia","Bomberman_Story_JAP_GBA-EURASIA","eur-bomb.zip","2001-05-25","BOMSTORY","AGB-ABSJ-JPN","1.0","49h","38231BC2h","32 Mbit","SRAM_V110 (256Kbit)","",""
"28","Iridion 3D","GameBoy Advance","Majesco Sales","USA","English","Action","2001-05-29","Eurasia","Iridion_3D_GBA-EURASIA","eur-ir3d.zip","2001-05-30","IRIDION3D","AGB-AI3E-USA","1.0","4Eh","34189E74h","32 Mbit","No Save","",""
"29","Pinobee - Wings of Adventure","GameBoy Advance","Activision","USA","English","Action","2001-05-30","Eurasia","Pinobee_Wings_of_Adventure_USA_GBA-EURASIA","eur-pino.zip","2001-06-04","PINOBEE","AGB-APBE-USA","1.0","D0h","D9385207h","64 Mbit","SRAM_V111 (256Kbit)","","Known Dupes: -P - pinob-p.zip - 2001.07.24"
"30","Ready 2 Rumble Boxing - Round 2","GameBoy Advance","Midway","USA","English","Fighting","2001-05-30","Eurasia","Ready_2_Rumble_Boxing_Round_2_USA_GBA-EURASIA","eur-rr2.zip","2001-06-04","R2RBOXING R2","AGB-AR2E-USA","1.0","8Dh","5DFCC5E5h","32 Mbit","No Save","",""
"31","Konami Krazy Racers","GameBoy Advance","Konami","USA","English","Racing","2001-06-10","Menace","Konami_Krazy_Racers_GBA-MNC","mnc-kkrc.zip","2001-06-06","KRAZY RACERS","AGB-AKWE-USA","1.0","43h","CAC557DEh","64 Mbit","SRAM_V111 (256Kbit)","","Overdumped"
"32","Castlevania - Circle of the Moon","GameBoy Advance","Konami","Europe","English","Platform","2001-06-08","Eurasia","Castlevania_Circle_of_the_Moon_USA_GBA-EURASIA","eur-cvus.zip","2001-06-06","DRACULA AGB1","AGB-AAMP-EUR","1.0","A6h","611535DCh","64 Mbit","SRAM_V110 (256Kbit)","",""
"33","Tony Hawk's Pro Skater 2","GameBoy Advance","Activision","USA","English","Sports","2001-05-31","Total Crap","Tony_Hawks_Pro_Skater_2_GBA-PROPER_DUMP-TC","tc-thwk2.zip","2001-06-07","TONY HAWK 2!","AGB-ATHE-USA","1.0","C0h","812DC57Ah","64 Mbit","EEPROM_V111 (4Kbit)","","Bad Dump Available:
The Corporation - tc-thps2.zip - 56BFF606h - 2001.06.07"
"34","GT Advance - Championship Racing","GameBoy Advance","THQ","USA","English","Racing","2001-06-10","The Corporation","GT_Championship_Racing_USA_GBA-TC","tc-gtacr.zip","2001-06-07","GT ADVANCE C","AGB-ACAE-USA","1.0","C8h","8C411ACCh","64 Mbit","No Save","",""
"35","Namco Museum","GameBoy Advance","Namco","USA","English","Action","2001-06-10","The Corporation","Namco_Museum_Advanced_GBA-TC","tc-namco.zip","2001-06-07","NAMCOMUSEUM","AGB-ANME-USA","1.0","5Fh","C58A04C1h","32 Mbit","No Save","",""
"36","Chu Chu Rocket!","GameBoy Advance","Sega","USA","English","Action","2001-06-10","The Corporation","Chu_Chu_Rocket_GBA-TC","tc-chu.zip","2001-06-07","CHUCHUROCKET","AGB-ACRE-USA","1.0","21h","057FB1B6h","32 Mbit","FLASH_V121 (512Kbit)","",""
"37","Earthworm Jim","GameBoy Advance","Majesco Sales","USA","English","Action","2001-06-10","Mode7","Earthworm_Jim_USA_GBA-MODE7","m7-ewjim.zip","2001-06-08","EWJ","AGB-AEJE-USA","1.0","DAh","C4991D13h","64 Mbit","No Save","",""
"38","Pitfall - The Mayan Adventure","GameBoy Advance","Majesco Sales","USA","English","Action","2001-06-10","Mode7","Pitfall_The_Mayan_Adventure_USA_GBA-MODE7","m7-pfall.zip","2001-06-08","PITFALL","AGB-APFE-USA","1.0","ADh","2CEDBB31h","32 Mbit","No Save","",""
"39","Army Men Advance","GameBoy Advance","3DO","USA","English","Action","2001-06-10","Eurasia","Army_Men_Advance_USA_GBA-EURASIA","eur-army.zip","2001-06-08","ARMY MEN ADV","AGB-ASAE-USA","1.0","86h","9A4A509Fh","32 Mbit","No Save","",""
"40","Super Dodge Ball Advance","GameBoy Advance","Atlus","USA","English","Sports","2001-06-10","Mode7","Super_Dodgeball_Advance_USA_GBA-MODE7","m7-dodge.zip","2001-06-08","SUPERDODGE","AGB-ADFE-USA","1.0","C8h","E320A950h","64 Mbit","SRAM_V110 (256Kbit)","","Full ROM dump.
Size Stripped releases:
Jurai - jurai-dodgeballadvance - 626603B5h - 2001.06.14
Ind - IND-SDB.ZIP - 1d31dc6b - 2001.08.08"
"41","F-Zero - Maximum Velocity","GameBoy Advance","Nintendo","USA","English","Racing","2001-06-10","Mode7","F-Zero_Maximum_Velocity_USA_GBA-MODE7","m7-fzero.zip","2001-06-08","F-ZERO ADVAN","AGB-AFZE-USA","1.0","8Dh","BD5E9798h","32 Mbit","SRAM_V111 (256Kbit)","","Known Dupes:
Milkmen - mmn-fzero.zip - 2001.06.26"
"42","Fire Pro Wrestling","GameBoy Advance","BAM!","USA","English","Fighting","2001-06-10","Mode7","Fire_Pro_Wrestling_USA_GBA-MODE7","m7-fprow.zip","2001-06-08","FP US","AGB-AFPE-USA","1.0","AGB-AFPE-USA","12AA524Ch","64 Mbit","FLASH_V123 (512Kbit)","",""
"43","Konami Krazy Racers","GameBoy Advance","Konami","Europe","English","Racing","2001-06-15","Cezar","Konami_Krazy_Racers_EURO_GBA-CEZAR","c-krrceu.zip","2001-06-14","KRAZY RACERS","AGB-AKWP-EUR","1.0","38h","CFEC0650h","32 Mbit","SRAM_V111 (256Kbit)","",""
"44","Ready 2 Rumble Boxing - Round 2","GameBoy Advance","Midway","Europe","Multi 3","Fighting","2001-06-15","Lightforce","Ready_2_Rumble-Round_2_MULTI-GBA-LIGHTFORCE","lfc-r2rm.zip","2001-06-15","R2RBOXING R2","AGB-AR2P-EUR","1.0","82h","E418E962h","32 Mbit","No Save","",""
"45","Castlevania - Circle of the Moon","GameBoy Advance","Konami","USA","English","Platform","2001-06-10","Cezar","Castlevania_Circle_of_the_Moon_REAL_USA_GBA-CEZAR","c-cstlus.zip","2001-06-18","DRACULA AGB1","AGB-AAME-USA","1.0","B1h","1CC059A4h","64 Mbit","SRAM_V110 (256Kbit)","",""
"46","Rayman Advance","GameBoy Advance","Ubi Soft","USA","Multi 5","Adventure","2001-06-10","Cezar","Rayman_Advance_USA_GBA-CEZAR","c-rymnus.zip","2001-06-18","RAYMAN","AGB-ARYE-USA","1.0","F3h","8ABA5AB8h","64 Mbit","EEPROM_V111 (4Kbit)","",""
"47","Tactics Ogre Gaiden - The Knight of Lodis","GameBoy Advance","Nintendo","Japan","Japanese","RPG","2001-06-21","Eurasia","Tactics_Ogre_Knight_of_Lodis_JAP_GBA-EURASIA","eur-taog.zip","2001-06-20","TOGRE GAIDEN","AGB-ATOJ-JPN","1.0","79h","0167A878h","64 Mbit","FLASH_V124 (512Kbit)","",""
"48","Kuru Kuru Kururin","GameBoy Advance","Nintendo","Europe","English","Action","2001-06-22","Mode7","Kuru_Kuru_Kururin_EURO_GBA-MODE7","m7-kuru.zip","2001-06-21","KURURIN","AGB-AKRP-EUR","1.0","92h","C4DAB956h","32 Mbit","SRAM_V111 (256Kbit)","",""
"49","Top Gear GT Championship","GameBoy Advance","Kemco","Europe","English","Racing","2001-06-21","Mode7","Top_Gear_GT_Championship_EURO_GBA-MODE7","m7-topg.zip","2001-06-21","TGGT-CHAMP","AGB-ATCP-EUR","1.0","E0h","391C0497h","32 Mbit","EEPROM_V120 (4Kbit)","",""
"50","Super Mario Advance","GameBoy Advance","Nintendo","Europe","English","Platform","2001-06-22","Cezar","Super_Mario_Advance_EURO_GBA-CEZAR","c-smaeur.zip","2001-06-22","SUPER MARIOA","AGB-AMAE-USA","1.0","74h","1E4C6D6Ah","32 Mbit","EEPROM_V120 (4Kbit)","","Incorrect serial number."
"51","Rayman Advance","GameBoy Advance","Ubi Soft","Europe","Multi 5","Platform","","Cezar","","c-rymneu.zip","2001-06-22","RAYMAN","AGB-ARYP-EUR","1.0","E8h","B43783B4h","64 Mbit","EEPROM_V111 (4Kbit)","","Known beta: mnc-raya.zip, 2001-06-06"
"52","Tweety & The Magic Gems","GameBoy Advance","Kemco","Europe","English","","","Eurasia","","eur-tgem.zip","2001-06-23","TWEETY MAGIC","AGB-ATMP-EUR","1.0","3Fh","024A1914h","32 Mbit","SRAM_V112 (256Kbit)","",""
"53","Tony Hawk's Pro Skater 2","GameBoy Advance","Activision","Germany","German","","","Lightforce","","lfc-th2g.zip","2001-06-25","TONY HAWK 2!","AGB-ATHD-NOE","1.0","C1h","6D236181h","64 Mbit","EEPROM_V111 (4Kbit)","",""
"54","Yushun Rhapsody","GameBoy Advance","Capcom","Japan","Japanese","","","Eurasia","","eur-rhap.zip","2001-06-27","Y-RHAPSODY","AGB-AYRJ-JPN","1.0","C3h","0FF11189h","64 Mbit","SRAM_V112 (256Kbit)","",""
"55","Choro Q Advance","GameBoy Advance","Takara","Japan","Japanese","Racing","","Eurasia","","eur-choq.zip","2001-06-27","CQADVANCE","AGB-AQAJ-JPN","1.0","36h","93FE0E34h","32 Mbit","SRAM_V112 (256Kbit)","",""
"56","Toy Robot Force","GameBoy Advance","Global A","Japan","Japanese","","","Eurasia","","eur-trf.zip","2001-06-28","TOYROBOFORCE","AGB-ATRJ-JPN","1.0","F1h","BE0EBF70h","64 Mbit","SRAM_V112 (256Kbit)","",""
"57","Hot Potato!","GameBoy Advance","BAM!","USA","English","","","Mode7","","m7-hotp.zip","2001-06-29","HOT POTATO","AGB-AHPE-USA","1.0","CFh","5ACB7A95h","32 Mbit","EEPROM_V120 (4Kbit)","",""
"58","Bomberman Tournament","GameBoy Advance","Activision","USA","English","","","Mode7","","m7-bombt.zip","2001-06-30","BOMSTORYUSA","AGB-ABSE-USA","1.0","67h","240282E6h","32 Mbit","SRAM_V112 (256Kbit)","",""
"59","Tony Hawk's Pro Skater 2","GameBoy Advance","Activision","France","French","","","Cezar","","c-thps2f.zip","2001-07-02","TONY HAWK 2!","AGB-ATHF-NOE","1.0","BFh","F0EFC9D8h","64 Mbit","EEPROM_V111 (4Kbit)","",""
"60","Breath of Fire","GameBoy Advance","Capcom","Japan","Japanese","RPG","","Eurasia","","eur-bof.zip","2001-07-03","BOF1","AGB-ABFJ-JPN","1.0","CEh","66E96B35h","32 Mbit","SRAM_V112 (256Kbit)","",""
"61","Yu-Gi-Oh! Duel Monsters 5 Expert 1","GameBoy Advance","Konami","Japan","Japanese","Strategy","","Eurasia","","eur-ydme.zip","2001-07-03","KCEJDM5EX1","AGB-AY5J-JPN","1.0","12h","F3041E7Eh","64 Mbit","SRAM_V112 (256Kbit)","",""
"62","Super Street Fighter II X Revival","GameBoy Advance","Capcom","Japan","Japanese","Fighting","","Eurasia","","eur-sf2x.zip","2001-07-11","SSF2XREVIVAL","AGB-AXRJ-JPN","1.0","25h","7A2C0D61h","64 Mbit","EEPROM_V121 (4Kbit)","",""
"63","Mahjong Detective","GameBoy Advance","Hudson","Japan","Japanese","","","Eurasia","","eur-mahd.zip","2001-07-11","MAHJONGKEIJI","AGB-AMPJ-JPN","1.0","50h","AD32A2D3h","32 Mbit","SRAM_V112 (256Kbit)","",""
"64","Pac-Man Collection","GameBoy Advance","Namco","USA","English","","","Mode7","","m7-pmcol.zip","2001-07-11","PACMANCOLLE","AGB-APCE-USA","1.0","92h","A2CDE4C6h","64 Mbit","No Save","","Overdumped"
"65","Titi et Les Bijoux Magiques","GameBoy Advance","Kemco","France","French","","","Absence","","abs-ttmg.zip","2001-07-22","TWEETY MAGIC","AGB-ATMF-NOE","1.0","49h","C66E14A4h","32 Mbit","SRAM_V112 (256Kbit)","","Known Bad Dumps:
Lost - lst-tmg.zip - 6523D657h - 2001.07.11"
"66","EX Monopoly","GameBoy Advance","Takara","Japan","Japanese","","","Eurasia","","eur-exmo.zip","2001-07-12","EX MONOPOLY","AGB-AMOJ-JPN","1.0","78h","916EFD5Bh","32 Mbit","SRAM_V112 (256Kbit)","",""
"67","Our Breeding Series - My Beetle","GameBoy Advance","M²TO","Japan","Japanese","Simulation","","Eurasia","","eur-btle.zip","2001-07-12","KABUTO","AGB-AB7J-JPN","1.0","F9h","F83FE589h","32 Mbit","SRAM_V112 (256Kbit)","",""
"68","Get Backers - Jigoku no Sukaramushu","GameBoy Advance","Konami","Japan","Japanese","","","Eurasia","","eur-getb.zip","2001-07-13","GETBACKERS","AGB-AGBJ-JPN","1.0","EDh","C0A0A979h","32 Mbit","FLASH_V120 (512Kbit)","",""
"69","Space Hexcite X","GameBoy Advance","Jordan","Japan","Japanese","","","Perversion","","p-shx.zip","2001-07-17","HEXCITE AGB","AGB-AJSJ-JPN","1.0","B6h","BD4E6008h","32 Mbit","SRAM_V111 (256Kbit)","",""
"70","Klonoa - Empire of Dreams","GameBoy Advance","Namco","Japan","Japanese","Platform","","Eurasia","","eur-klon.zip","2001-07-17","KLONOA","AGB-AKLJ-JPN","1.0","E4h","B51D97DE","32 Mbit","EEPROM_V121 (4Kbit)","",""
"71","Mario Kart Advance","GameBoy Advance","Nintendo","Japan","Japanese","Racing","","Eurasia","","eur-mkta.zip","2001-07-17","MARIO KART","AGB-AMKJ-JPN","1.0","03h","30E99FCD","32 Mbit","FLASH_V124 (512Kbit)","",""
"72","Doraemon Midori No Wakusei","GameBoy Advance","Epoch","Japan","Japanese","","","Perversion","","p-dmnw.zip","2001-07-17","DORAEMON","AGB-ADRJ-JPN","1.0","61h","95565762","64 Mbit","SRAM_V110 (256Kbit)","",""
"73","Jurassic Park III - The DNA Factor","GameBoy Advance","Konami","USA","English","","","Mode7","","m7-jpdna.zip","2001-07-19","JP3 THE DNA","AGB-ADNE-USA","1.0","03h","F93DCC2Eh","64 Mbit","EEPROM_V121 (4Kbit)","","Known Bad Dumps: 
Mode 7 - m7-jp3.zip - 8614C7CAh - 2001.07.18"
"74","Muscular Ranking","GameBoy Advance","Konami","Japan","Japanese","","","Eurasia","","eur-mrnk.zip","2001-07-26","KINNIKU AGB","AGB-AK4J-JPN","1.0","AFh","94519D2Ah","64 Mbit","SRAM_V112 (256Kbit)","",""
"75","JGTO Golf Master Mobile","GameBoy Advance","Konami","Japan","Japanese","","","Eurasia","","eur-jgto.zip","2001-07-26","GOLFMASTER M","AGB-AGMJ-JPN","1.0","5Ch","B863DAE1h","64 Mbit","FLASH_V124 (512Kbit)","",""
"76","Mugen Kikou Zero Tours","GameBoy Advance","Media Rings","Japan","Japanese","","","Eurasia","","eur-zero.zip","2001-07-26","ZEROTOURS","AGB-AZTJ-JPN","1.0","B3h","DE7C1AE8h","32 Mbit","FLASH_V124 (512Kbit)","",""
"77","Suta Komi - Star Communicator","GameBoy Advance","Konami","Japan","Japanese","","","Eurasia","","eur-scom.zip","2001-07-26","STARCOM","AGB-ASKJ-JPN","1.0","7Dh","260683C7h","64 Mbit","SRAM_V110 (256Kbit)","",""
"78","Mobile Pro Baseball","GameBoy Advance","Konami","Japan","Japanese","","","Eurasia","","eur-mpbb.zip","2001-07-26","MB BASEBALL","AGB-AMBJ-JPN","1.0","BDh","8DF8A0C0h","64 Mbit","FLASH_V124 (512Kbit)","",""
